state_name,fuel_type,price_per_litre_inr,effective_date
ANDAMAN AND NICOBAR ISLANDS,Diesel,84.56,2026-07-12
ANDAMAN AND NICOBAR ISLANDS,Petrol,88.66,2026-07-12
ANDHRA PRADESH,Diesel,104.52,2026-07-12
ANDHRA PRADESH,Petrol,117.73,2026-07-12
ARUNACHAL PRADESH,Diesel,89.11,2026-07-12
ARUNACHAL PRADESH,Petrol,99.69,2026-07-12
ASSAM,Diesel,98.08,2026-07-12
ASSAM,Petrol,106.76,2026-07-12
BIHAR,Diesel,101.07,2026-07-12
BIHAR,Petrol,115.06,2026-07-12
CHANDIGARH,Diesel,89.47,2026-07-12
CHANDIGARH,Petrol,101.54,2026-07-12
CHHATTISGARH,Diesel,103.01,2026-07-12
CHHATTISGARH,Petrol,109.73,2026-07-12
DELHI,Diesel,95.2,2026-07-12
DELHI,Petrol,102.12,2026-07-12
GOA,Diesel,96.01,2026-07-12
GOA,Petrol,104.13,2026-07-12
GUJARAT,Diesel,97.92,2026-07-12
GUJARAT,Petrol,101.83,2026-07-12
HARYANA,Diesel,95.96,2026-07-12
HARYANA,Petrol,103.32,2026-07-12
HIMACHAL PRADESH,Diesel,101.9,2026-07-12
HIMACHAL PRADESH,Petrol,108.64,2026-07-12
JAMMU AND KASHMIR,Diesel,94.96,2026-07-12
JAMMU AND KASHMIR,Petrol,106.35,2026-07-12
JHARKHAND,Diesel,100.99,2026-07-12
JHARKHAND,Petrol,105.43,2026-07-12
KARNATAKA,Diesel,99.54,2026-07-12
KARNATAKA,Petrol,111.79,2026-07-12
KERALA,Diesel,103.15,2026-07-12
KERALA,Petrol,113.74,2026-07-12
LADAKH,Diesel,94.96,2026-07-12
LADAKH,Petrol,106.35,2026-07-12
LAKSHADWEEP,Diesel,96.01,2026-07-12
LAKSHADWEEP,Petrol,104.13,2026-07-12
MADHYA PRADESH,Diesel,100.86,2026-07-12
MADHYA PRADESH,Petrol,115.85,2026-07-12
MAHARASHTRA,Diesel,98.48,2026-07-12
MAHARASHTRA,Petrol,111.78,2026-07-12
MANIPUR,Diesel,92.78,2026-07-12
MANIPUR,Petrol,106.87,2026-07-12
MEGHALAYA,Diesel,93.7,2026-07-12
MEGHALAYA,Petrol,101.92,2026-07-12
MIZORAM,Diesel,95.69,2026-07-12
MIZORAM,Petrol,106.81,2026-07-12
NAGALAND,Diesel,95.21,2026-07-12
NAGALAND,Petrol,103.67,2026-07-12
ODISHA,Diesel,102.02,2026-07-12
ODISHA,Petrol,110.32,2026-07-12
PUDUCHERRY,Diesel,93.67,2026-07-12
PUDUCHERRY,Petrol,103.37,2026-07-12
PUNJAB,Diesel,95.47,2026-07-12
PUNJAB,Petrol,105.56,2026-07-12
RAJASTHAN,Diesel,97.46,2026-07-12
RAJASTHAN,Petrol,112.31,2026-07-12
SIKKIM,Diesel,128.0,2026-07-12
SIKKIM,Petrol,103.3,2026-07-12
TAMIL NADU,Diesel,100.66,2026-07-12
TAMIL NADU,Petrol,108.95,2026-07-12
TELANGANA,Diesel,105.22,2026-07-12
TELANGANA,Petrol,117.06,2026-07-12
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Diesel,95.52,2026-07-12
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Petrol,99.7,2026-07-12
TRIPURA,Diesel,85.77,2026-07-12
TRIPURA,Petrol,96.7,2026-07-12
UTTAR PRADESH,Diesel,95.14,2026-07-12
UTTAR PRADESH,Petrol,101.67,2026-07-12
UTTARAKHAND,Diesel,97.32,2026-07-12
UTTARAKHAND,Petrol,102.16,2026-07-12
WEST BENGAL,Diesel,101.13,2026-07-12
WEST BENGAL,Petrol,114.28,2026-07-12
