pincode,district,state_name,latitude,longitude
110001,NEW DELHI,DELHI,28.60612,77.220929
110002,CENTRAL,DELHI,28.635194,77.237391
110003,SOUTH,DELHI,28.595196,77.228388
110004,NEW DELHI,DELHI,28.621083,77.196139
110005,CENTRAL,DELHI,27.822292,77.1645
110006,CENTRAL,DELHI,28.652008,77.224192
110007,NORTH,DELHI,28.673593,77.205318
110008,WEST,DELHI,28.642639,77.1754
110009,NORTH,DELHI,28.703854,77.199312
110010,NEW DELHI,DELHI,28.349476,77.136562
110011,NEW DELHI,DELHI,28.610986,77.213806
110012,WEST,DELHI,28.636361,77.161333
110013,SOUTH EAST,DELHI,28.589486,77.246458
110014,SOUTH,DELHI,28.579201,77.253806
110015,WEST,DELHI,28.657799,77.131258
110016,SOUTH,DELHI,28.545704,77.199657
110017,SOUTH,DELHI,28.531974,77.214617
110018,WEST,DELHI,28.645369,77.098116
110019,SOUTH EAST,DELHI,28.539729,77.270389
110020,SOUTH,DELHI,28.544964,77.271299
110021,NEW DELHI,DELHI,28.592486,77.166375
110022,NEW DELHI,DELHI,28.563639,77.172493
110023,NEW DELHI,DELHI,28.575494,77.204294
110024,SOUTH EAST,DELHI,28.563847,77.234022
110025,SOUTH EAST,DELHI,28.557828,77.279617
110026,WEST,DELHI,28.658086,77.13171
110027,WEST,DELHI,28.642537,77.116871
110028,NEW DELHI,DELHI,28.63132,77.136884
110029,SOUTH,DELHI,28.588833,77.179713
110030,SOUTH,DELHI,28.51975,77.184563
110031,SHAHDARA,DELHI,28.669238,77.274329
110032,SHAHDARA,DELHI,28.672823,77.297265
110033,NORTH,DELHI,28.723718,77.171
110034,NORTH WEST,DELHI,28.695147,77.137484
110035,NORTH WEST,DELHI,28.680592,77.162649
110036,NORTH,DELHI,28.798015,77.119784
110037,NEW DELHI,DELHI,28.54615,77.106633
110038,NEW DELHI,DELHI,28.519694,77.119903
110039,NORTH,DELHI,28.799694,77.038056
110040,NORTH WEST,DELHI,28.849455,77.087049
110041,WEST,DELHI,28.672674,77.031916
110042,NORTH,DELHI,28.741791,77.136697
110043,SOUTH WEST,DELHI,28.558127,77.526661
110044,SOUTH,DELHI,28.515795,77.265135
110045,SOUTH WEST,DELHI,26.361627,77.367105
110046,NEW DELHI,DELHI,28.611056,77.105861
110047,SOUTH,DELHI,28.464889,77.131472
110048,SOUTH EAST,DELHI,28.541769,77.23887
110049,SOUTH,DELHI,28.5595,77.217911
110051,SHAHDARA,DELHI,28.660646,77.29134
110052,NORTH,DELHI,28.681783,77.177639
110053,NORTH EAST,DELHI,28.654358,77.25887
110054,CENTRAL,DELHI,28.687275,77.224215
110055,CENTRAL,DELHI,28.63791,77.199383
110056,NORTH WEST,DELHI,28.682722,77.111111
110057,NEW DELHI,DELHI,28.562944,77.157583
110058,WEST,DELHI,28.628736,77.096548
110059,WEST,DELHI,28.623015,77.17212
110060,CENTRAL,DELHI,28.636722,77.183111
110061,NEW DELHI,DELHI,28.536556,77.284694
110062,SOUTH,DELHI,28.518088,77.238588
110063,WEST,DELHI,28.668559,77.111121
110064,WEST,DELHI,28.624723,75.915985
110065,SOUTH EAST,DELHI,28.561026,77.252198
110066,NEW DELHI,DELHI,28.562556,77.178139
110067,NEW DELHI,DELHI,28.548398,77.173
110068,SOUTH,DELHI,28.501222,77.200306
110069,NEW DELHI,DELHI,28.622583,77.212722
110070,NEW DELHI,DELHI,28.520824,77.157796
110071,SOUTH WEST,DELHI,28.570904,77.185245
110072,SOUTH WEST,DELHI,28.644252,77.458519
110073,SOUTH WEST,DELHI,27.099875,80.681096
110074,SOUTH,DELHI,28.501062,77.186785
110075,SOUTH WEST,DELHI,28.588594,77.050114
110076,SOUTH,DELHI,28.528278,77.300389
110077,SOUTH WEST,DELHI,28.568251,77.062894
110078,SOUTH WEST,DELHI,28.613895,77.065442
110080,SOUTH,DELHI,28.50657,77.240398
110081,NORTH WEST,DELHI,28.734917,77.005555
110082,NORTH,DELHI,28.772167,77.119
110083,NORTH WEST,DELHI,28.698194,77.088431
110084,NORTH,DELHI,28.75393,77.198285
110085,NORTH WEST,DELHI,28.712419,77.133019
110086,NORTH WEST,DELHI,28.699312,77.076407
110087,WEST,DELHI,28.675387,77.086535
110088,NORTH,DELHI,28.703796,77.163241
110089,NORTH WEST,DELHI,28.734806,77.1325
110090,NORTH EAST,DELHI,28.703451,77.288765
110091,EAST,DELHI,28.623917,77.302806
110092,EAST,DELHI,28.657012,77.290799
110093,NORTH EAST,DELHI,28.689929,77.307066
110094,NORTH EAST,DELHI,28.696148,77.29725
110095,SHAHDARA,DELHI,28.680318,77.317744
110096,EAST,DELHI,28.616201,77.327583
110097,SOUTH WEST,DELHI,28.524946,77.071004
110099,NORTH WEST,DELHI,28.720596,77.080909
110110,NORTH WEST,DELHI,28.7158,77.11
121001,FARIDABAD,HARYANA,28.33233,77.45534
121002,FARIDABAD,HARYANA,28.455964,77.328433
121003,FARIDABAD,HARYANA,28.425841,77.313625
121004,PALWAL,HARYANA,27.988982,77.850099
