issue_type
AC not cooling
Battery drainage
Body damage
Brake Noise
Brake fluid leak
Brake wear
Check engine light
Dead battery
Dents and scratches
Dim headlights
Engine Misfire
Engine Overheating
Exhaust Issue
Flickering lights
Fluid leak
Fuel blockage
Headlight Clouding/Fading
Low oil
Noise while turning
Oil leak
Poor fuel economy
Reduced Power/Acceleration
Rough Idling
Scratched headlights
Squeaking noise
Steering Issue
Sticking clutch
Streaky wipers
Timing issues
Tire damage
Tire wear
Transmission Slipping
Transmission issues
Warning lights
Wheel Misalignment
